question,answer,generated_answer
<MedVQA>What type of medical procedure is shown in the image?,The abnormality is pink.,The color of the abnormality is pink.
<MedVQA>What type of medical procedure is shown in the image?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What type of medical procedure is shown in the image?,The box-like artefact appears green/black.,The box-like artefact appears green/black in color.
<MedVQA>What type of medical procedure is shown in the image?,2,There are 2 findings in the image.
<MedVQA>What type of medical procedure is shown in the image?,"There is an abnormality in the image with colors such as pink, red, and yellow.",There are no instruments visible in the image.
<MedVQA>What type of medical procedure is shown in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the number of findings in the image?,There is only 1 finding.,There is 1 finding.
<MedVQA>What is the number of findings in the image?,No instruments are present in the image.,There are no instruments present in the image.
<MedVQA>What is the number of findings in the image?,Oesophagitis is visible in the image.,Oesophagitis
<MedVQA>What is the number of findings in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is the number of findings in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the number of findings in the image?,1,There is 1 instrument.
<MedVQA>What is the number of findings in the image?,The image does not contain a green/black box artefact.,A green/black box artefact is present.
<MedVQA>What is the number of findings in the image?,The z-line is visible.,There are no instruments visible in the image.
<MedVQA>What is the number of findings in the image?,No,"No, the image does not contain a green/black box artefact."
<MedVQA>What is the number of findings in the image?,A polyp snare and tube,A polyp snare and tube
<MedVQA>What is the number of findings in the image?,The observed area is polyp-free.,The observed area is polyp-free.
<MedVQA>What is the number of findings in the image?,Paris,A Paris type polyp is present.
<MedVQA>What is the number of findings in the image?,A polyp is visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the number of findings in the image?,"The abnormality has colors of pink, yellow, and purple.","The color scheme of the abnormality is pink, red, yellow, and white."
<MedVQA>What is the number of findings in the image?,There are 2 findings.,There are 2 findings.
<MedVQA>What is the number of findings in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the number of findings in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the number of findings in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is the number of findings in the image?,The instrument is located in the center and lower-center of the image.,The instrument is located in the center and lower-center of the image.
<MedVQA>What is the number of findings in the image?,The instrument is located in the upper-left.,The instrument is located in the upper-left and upper-center of the image.
<MedVQA>How many polyps are present in the image?,There is 1 polyp in the image.,There is 1 polyp.
<MedVQA>How many polyps are present in the image?,"There is an abnormality located in the center, upper-right and center-right of the image.",A polyp is present.
<MedVQA>How many polyps are present in the image?,"The abnormality is located in multiple areas including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>How many polyps are present in the image?,The abnormality in the image appears pink and red.,"The color of the abnormality is pink, red, and white."
<MedVQA>How many polyps are present in the image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>How many polyps are present in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>How many polyps are present in the image?,A Paris type polyp is present.,A Paris IP type polyp is present.
<MedVQA>How many polyps are present in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>How many polyps are present in the image?,The examination shows no polyps.,The examination shows no findings.
<MedVQA>How many polyps are present in the image?,The colon is polyp-free.,The colon is polyp-free.
<MedVQA>How many polyps are present in the image?,The z-line is visible.,There are no instruments visible in the image.
<MedVQA>How many polyps are present in the image?,The abnormality in the image has pink and red colors.,"The abnormality in the image has a pink, red, and white color."
<MedVQA>How many polyps are present in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>How many polyps are present in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>How many polyps are present in the image?,The polyp is of type Paris IIa.,Paris IIA
<MedVQA>How many polyps are present in the image?,The abnormality appears pink and red in color.,"The abnormality appears pink, red, and white in color."
<MedVQA>How many polyps are present in the image?,The polyp count is zero.,There are no polyps.
<MedVQA>How many polyps are present in the image?,No,"No, the image does not contain any text."
<MedVQA>How many polyps are present in the image?,2,There is 1 polyp.
<MedVQA>How many polyps are present in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of medical procedure is shown in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of medical procedure is shown in the image?,The z-line,The z-line is visible in the image.
