caption,Q,A
"Generate an image with an abnormality with the colors yellow, pink and red.",What is the color of the abnormality in the image?,"The abnormality in the image has a mix of yellow, pink, and red colors."
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The polyp is 11-20mm in size.
Generate a polyp of type paris is.,What type of polyp is present?,A Paris type of polyp is present.
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, lower-right, center-right and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, lower-right, center-right, and lower-center parts of the image."
Generate an image containing ulcerative colitis.,What is the condition shown in the image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings in this image?,There is 1 finding.
Generate an image with no instruments.,What instruments can be seen in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the polyp status in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is the image free from artifacts?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the colors pink and red.,What is the color of the abnormality?,The abnormality is pink and red in color.
Generate an image from a colonoscopy procedure.,What type of procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing a polyp.,What is visible in the image?,A polyp is visible.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the endoscopy image?,There are no instruments in the image.
